ROWNUM;FullName;ShortName;Area;District;PostalCode;Address;ChiefName;ChiefPosition;ChiefGender;ChiefPhone;PublicPhone;Fax;Email;PaidServicesInfo;FreeServicesInfo;WorkingHours;ClarificationOfWorkingHours;Specialization;Bedspace;Departments;ExtraInfo;X;Y;GLOBALID;
11;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская больница города Московский Департамента здравоохранения города Москвы»";"ГКУЗ ГБ г. Московский ДЗМ";"Новомосковский административный округ";"поселение Московский";"142784";"1-й микрорайон, дом 54";"Ишкова Виктория Ивановна";"главный врач";"женский";"(499) 558-31-15";"(499) 558-31-04";"(495) 841-82-85";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"многопрофильное медицинское учреждение";"65";"Терапевтическое отделение; Отделение сестринского ухода";"";"37,74119";"55,803568";"84055667";
12;"Государственное бюджетное учреждение здравоохранения города Москвы «Коммунарская больница Департамента здравоохранения города Москвы»";"ГБУЗ Коммунарская больница ДЗМ";"Новомосковский административный округ";"поселение Сосенское";"142770";"поселение Сосенское, поселок Коммунарка";"Сатаров Михаил Геннадьевич";"главный врач";"мужской";"(495) 817-89-54";"(495) 817-89-54";"(495) 817-89-54";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"";"";"";"37,74119";"55,803568";"84055668";
13;"Государственное бюджетное учреждение здравоохранения города Москвы «Больница «Кузнечики» Департамента здравоохранения города Москвы»";"ГБУЗ Больница «Кузнечики» ДЗМ";"Троицкий административный округ";"поселение Щаповское";"142144";"село Ознобишино, дом 30";"Гаплаев Магомед-Салих Шиблуевич";"главный врач";"мужской";"(495) 212-14-80";"(495) 212-14-80";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота выходной; воскресенье выходной";"третья суббота месяца 08:00-20:00";"многопрофильное медицинское учреждение";"90";"Отделение общей терапии";"";"37,74119";"55,803568";"84055669";
14;"Государственное бюджетное учреждение здравоохранения города Москвы «Щербинская городская больница Департамента здравоохранения города Москвы»";"ГБУЗ ЩГБ ДЗМ";"Новомосковский административный округ";"поселение Щербинка";"142171";"город Щербинка, Первомайская улица, дом 10";"Курков Владимир Львович";"главный врач";"мужской";"(495) 867-02-04";"(495) 867-02-49";"(495) 867-07-75";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"15";"Детское соматическое отделение";"";"37,206713";"55,966525";"84055671";
15;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 1 имени Н. И. Пирогова Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 1 им.Н. И. Пирогова ДЗМ";"Центральный административный округ";"район Якиманка";"119049";"Ленинский проспект, дом 8";"Шабунин Алексей Васильевич";"главный врач";"мужской";"(499) 236-60-69";"(499) 236-60-69";"(499) 236-65-28";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"1346";"";"";"37,603998";"55,725478";"84055672";
16;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 11 Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 11 ДЗМ";"Северо-Восточный административный округ";"район Марьина Роща";"127018";"улица Двинцев, дом 6, корпус 3";"Бойко Алексей Николаевич";"главный врач";"мужской";"(499) 940-19-50";"(499) 940-19-50";"(499) 940-19-50";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:30-16:45; вторник 08:30-16:45; среда 08:30-16:45; четверг 08:30-16:45; пятница 08:30-16:45; суббота 08:30-16:45; воскресенье 08:30-16:45";"";"многопрофильное медицинское учреждение";"320";"Пульмонологическое отделение; Терапевтическое отделение; Кардиологическое отделение; Отделение неотложной кардиологии с блоком кардиореанимации; Неврологическое отделение для больных рассеянным склерозом; Отделение общей неврологии; Онкологическое отделение паллиативного лечения; Консультативно-поликлиническое отделение с дневным стационаром; Эндоскопическое отделение; Рентгенологическое отделение; Отделение функциональной диагностики; Физиотерапевтическое отделение; Клиникодиагностическая лаборатория";"";"37,600585";"55,794146";"84055673";
17;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 12 Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 12 ДЗМ";"Южный административный округ";"район Царицыно";"115516";"Бакинская улица, дом 26";"Саликов Александр Викторович";"главный врач";"мужской";"(495) 322-17-10";"(495) 322-17-10";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"1000";"";"";"37,65376";"55,618772";"84055674";
18;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 13 Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 13 ДЗМ";"Юго-Восточный административный округ";"Южнопортовый район";"115280";"Велозаводская улица, дом 1, строение 1";"Аронов Леонид Семенович";"главный врач";"мужской";"(495) 674-50-22";"(495) 674-50-22";"(495) 674-80-76";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"101 койка в том числе 6 коек реанимационных и 12 интенсивной терапии для новорожденных";"";"";"37,664649";"55,719422";"84055675";
19;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 14 имени В. Г. Короленко Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 14 им. В. Г. Короленко";"Восточный административный округ";"район Сокольники";"107076";"улица Короленко, дом 3, корпус 1";"Гайнулин Шамиль Мухтарович";"главный врач";"мужской";"(495) 964-39-29";"(495) 964-39-29";"(495) 964-11-21";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"440";"";"";"37,690628";"55,796978";"84055676";
20;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 14 имени В. Г. Короленко Департамента здравоохранения города Москвы» филиал № 1";"ГБУЗ ГКБ № 14 им. В. Г. Короленко филиал № 1 ДЗМ";"Восточный административный округ";"район Сокольники";"107014";"улица Стромынка, дом 7";"Гайнулин Шамиль Мухтарович";"главный врач";"мужской";"(499) 268-24-75";"(499) 268-24-75";"(499) 268-24-75";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"1101";"Приёмное отделение";"";"37,685222";"55,792332";"84055677";
21;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 14 имени В. Г. Короленко Департамента здравоохранения города Москвы» филиал № 2";"ГБУЗ ГКБ № 14 им. В. Г. Короленко филиал № 2 ДЗМ";"Восточный административный округ";"район Сокольники";"107076";"улица Гастелло, дом 42";"Бурцева Ольга Борисовна";"заведующий филиалом";"женский";"(499) 268-39-62";"(499) 268-62-55";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"";"";"";"37,692707";"55,783148";"84055678";
22;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 15 имени О. М. Филатова Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 15 им. О. М. Филатова ДЗМ";"Восточный административный округ";"район Вешняки";"111539";"Вешняковская улица, дом 23";"Тюлькина Екатерина Евгеньевна";"главный врач";"женский";"(495) 375-04-47";"(495) 375-04-47";"(495) 770-01-23";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"1600";"";"";"37,833237";"55,730781";"84055679";
23;"Государственное казенное учреждение здравоохранения города Москвы «Городская клиническая больница № 19 Департамента здравоохранения города Москвы»";"ГКУЗ ГКБ № 19 ДЗМ";"Центральный административный округ";"Пресненский район";"123022";"Большой Предтеченский переулок, дом 15";"Бутырина Светлана Федоровна";"главный врач";"женский";"(495) 605-48-10";"(495) 605-48-10";"(495) 605-48-10";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"310";"2-е Отделение нейрохирургии; 1-е Отделение терапии; 2-е Отделения кардиологии";"";"37,567353";"55,759461";"84055680";
24;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 20 Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 20 ДЗМ";"Северо-Восточный административный округ";"Бабушкинский район";"129327";"Ленская улица, дом 15";"Крапивин Андрей Александрович";"главный врач";"мужской";"(495) 471-10-44";"(495) 471-10-44";"(495) 471-12-53";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"1295";"Родильное отделение";"";"37,663391";"55,865288";"84055681";
25;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 23 имени «Медсантруд» Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 23 им. «Медсантруд» ДЗМ";"Центральный административный округ";"Таганский район";"109240";"Яузская улица, дом 11, строение 1";"Хрупкин Валерий Иванович";"главный врач";"мужской";"(495) 915-36-48";"(495) 915-38-47";"(495) 915-30-42";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"622 + реанимация 24";"Отделение общей терапии; Отделение кардиологии для больных инфарктом миокарда; Отделение общей хирургии; Отделение гнойной хирургии; Отделение торакальной хирургии; Гинекологическое отделение; Неврологическое отделение; Отделение пульмоналогии; Отделение общей реанимации; Отделение нейрореанимации; Отделение кардиореанимации";"";"37,648845";"55,746467";"84055682";
26;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 24 Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 24 ДЗМ";"Северный административный округ";"Савёловский район";"127015";"Писцовая улица, дом 10";"Родоман Григорий Владимирович";"главный врач";"мужской";"(495) 613-04-08";"(495) 613-04-08";"(495) 613-04-34";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"540";"Терапевтическое отделение; Отделение аллергологии; Нефрологическое отделение; Неврологическое отделение; Отделение абдоминальной хирургии; Колопроктологические отделение; Онкологическое отделение; Отделение реанимации; Отделение диализа; Отделение дневного стационара";"";"37,578977";"55,798339";"84055683";
27;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 29 имени Н. Э. Баумана Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 29 им. Н. Э. Баумана";"Юго-Восточный административный округ";"район Лефортово";"111020";"Госпитальная площадь, дом 2";"Папышева Ольга Виуленовна";"главный врач";"женский";"(495) 263-26-30";"(495) 263-26-30";"(495) 263-26-30";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"1005";"Консультативно-диагностический центр";"";"37,700459";"55,766318";"84055684";
28;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 31 Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 31 ДЗМ";"Западный административный округ";"район Проспект Вернадского";"119415";"улица Лобачевского, дом 42";"Маслова Римма Александровна";"главный врач";"женский";"(499) 936-99-16";"(499) 936-99-16";"(499) 432-08-15";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"432";"";"";"37,502159";"55,669634";"84055685";
29;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 36 Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 36 ДЗМ";"Северо-Восточный административный округ";"Алексеевский район";"105318";"улица Касаткина, дом 1";"Митичкин Александр Евгеньевич";"главный врач";"мужской";"(499) 366-77-19";"(499) 366-77-19";"(499) 369-40-89";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"1693";"Кардиологические отделение";"";"37,651794";"55,827141";"84055686";
30;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 4 Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 4 ДЗМ";"Южный административный округ";"Даниловский район";"115093";"Павловская улица, дом 25";"Хрупалов Андрей Александрович";"главный врач";"мужской";"(499) 235-04-43";"(499) 235-04-43";"(495) 952-69-40";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"930 и сверх реанимации 30 коек";"Травматологическое отделение";"";"37,628676";"55,714267";"84055687";
31;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 40 Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 40 ДЗМ";"Северо-Восточный административный округ";"Алексеевский район";"129301";"улица Касаткина, дом 7";"Фатуев Олег Эдуардович";"главный врач";"мужской";"(495) 686-80-50";"(495) 686-80-50";"(495) 686-31-28";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:30-17:00; вторник 08:30-17:00; среда 08:30-17:00; четверг 08:30-17:00; пятница 08:30-17:00; суббота выходной; воскресенье выходной";"";"многопрофильное медицинское учреждение";"735";"Отделение терапии; Отделение кардиологии; Отделение гематологии; Отделение неврологии; Отделение чистая хирургия; Отделение абдоминальной онкологии; Отделение онкологии мягких тканей и молочной железы; Отделение онкогинекологии; Отделение онкоурологии; Отделение торокальной онкологии; Отделение химиотерапии; Отделение радиологии; Отделение гинекологии";"";"37,657371";"55,825056";"84055688";
32;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 50 Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 50 ДЗМ";"Северный административный округ";"Тимирязевский район";"125206";"улица Вучетича, дом 21";"Переходов Сергей Николаевич";"главный врач";"мужской";"(499) 760-79-33";"(499) 798-40-00";"(499) 760-81-99";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 08:00-20:00; воскресенье 08:00-20:00";"";"многопрофильное медицинское учреждение";"1201";"1-ое кардиологическое отделение для больных инфарктом миокарда (отделение неотложной кардиологии); 2-ое кардиологическое отделение; 1-ое специализированное лечебное внебюджетное отделение; 2-ое терапевтическое отделение; 2-ое терапевтическое отделение; 3-е терапевтическое отделение; 4-ое терапевтическое отделение; отделение реанимации и интенсивной терапии (для больных инфарктом миокарда); гастроэнтерологическое отделение; 1-ое неврологическое отделение (для больных с нарушениями мозгового кровообращения); отделение реанимации и интенсивной терапии (для больных с острыми нарушениями мозгового кровообращения); 2-ое неврологическое отделение; 1-ое хирургическое отделение; 2-ое хирургическое отделение; 3-е хирургическое отделение; 1-ое урологическое отделение; 2-ое урологическое отделение; 3-е урологическое отделение; 4-ое урологическое отделение; отоларингологическое отделение; гинекологическое отделение; отделение гемодиализа; дневной стационар";"";"37,555381";"55,81276";"84055689";
33;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 51 Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 51 ДЗМ";"Западный административный округ";"район Филёвский Парк";"121309";"улица Алябьева, дом 7/33";"Бражник Виктория Алексеевна";"главный врач";"женский";"(499) 146-81-24";"(499) 146-81-24";"(499) 146-80-15";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"731";"Приёмное отделение";"";"37,484404";"55,742829";"84055690";
34;"Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 52 Департамента здравоохранения города Москвы»";"ГБУЗ ГКБ № 52 ДЗМ";"Северо-Западный административный округ";"район Щукино";"123182";"Пехотная улица, дом 3";"Вторенко Владимир Иванович";"главный врач";"мужской";"(499) 196-39-36";"(499) 196-10-10";"(499) 196-21-14";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник круглосуточно; вторник круглосуточно; среда круглосуточно; четверг круглосуточно; пятница круглосуточно; суббота круглосуточно; воскресенье круглосуточно";"";"многопрофильное медицинское учреждение";"1215";"Кардиологическое отделение";"";"37,481445";"55,800596";"84055691";
